section,object_name,detail_type,details
S2_columns,generation_jobs.id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""generation_jobs"",""column_name"":""id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""gen_random_uuid()"",""ordinal_position"":1,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.input_data,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""generation_jobs"",""column_name"":""input_data"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":6,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.job_type,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""generation_jobs"",""column_name"":""job_type"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":4,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.result_data,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""generation_jobs"",""column_name"":""result_data"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":7,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.started_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""generation_jobs"",""column_name"":""started_at"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":12,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.status,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""generation_jobs"",""column_name"":""status"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'queued'::text"",""ordinal_position"":5,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.updated_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""generation_jobs"",""column_name"":""updated_at"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""now()"",""ordinal_position"":11,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.user_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""generation_jobs"",""column_name"":""user_id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":2,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,study_visuals.created_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""study_visuals"",""column_name"":""created_at"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""now()"",""ordinal_position"":6,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,study_visuals.document_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""study_visuals"",""column_name"":""document_id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":2,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,study_visuals.id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""study_visuals"",""column_name"":""id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""gen_random_uuid()"",""ordinal_position"":1,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
